20221205	14:34:06	250f2426-838c-4635-b195-2d99b9d253bf	POST	undefined	/employees
20221205	14:34:24	411ada84-4385-46b5-adbc-0b44ea642870	POST	undefined	/employees
20221205	14:34:26	c73a8072-75b3-4bfa-8c21-bba6b26cf0b8	POST	undefined	/employees
20221205	14:34:38	2812a8c0-4d71-4e33-bbe9-94be05856e10	POST	undefined	/employees
20221205	14:34:50	57868e30-5d71-4178-91fc-8929bdb3ffbe	GET	undefined	/employees
20221205	14:34:56	e303fd86-698f-41b1-aa30-b2d6c2e83623	GET	undefined	/employees
20221205	14:37:49	47e35816-22b8-46bd-9b04-d2a3485f344b	POST	undefined	/auth
20221205	14:38:09	8f115863-fbc6-4c56-a841-9d427232a72d	GET	undefined	/employees
20221205	14:38:17	69b95d84-afc7-4d71-956d-75bbe0a0b0b9	GET	undefined	/employees
20221205	14:38:18	bcc0dfb0-6d9e-4a43-8bbe-6759d55482b3	GET	undefined	/employees
20221205	14:38:22	d1408b64-328c-4ba1-b2ba-509ce0e0b23e	GET	undefined	/employees
20221205	14:38:41	be801ca9-0f21-4d10-9493-ad45dd6f74d7	POST	undefined	/employees
20221205	16:29:02	55e54a37-cde6-410b-8daf-fec2824a98dd	GET	undefined	/
20221205	16:29:02	ac91abe9-2420-45b3-806c-fb61072040d3	GET	undefined	/css/style.css
20221205	16:47:20	902b0c8c-4f88-4721-9b86-604b7cbc158f	POST	undefined	/register
20221205	16:47:23	5ea30d09-8708-4242-9890-eae838216d08	POST	undefined	/register
20221205	16:47:33	b0ec046b-7277-4949-bbe1-818d98da7363	POST	undefined	/auth
20221205	16:48:53	4cc053b1-f71d-4323-8d56-62651c29cb4b	GET	undefined	/refresh
20221205	16:49:25	a8c5cedd-92f1-4136-a119-fb9e8e57a6ad	GET	undefined	/refresh
20221205	16:53:20	9b337628-e56b-46f4-a2ac-f0b569569e7e	POST	undefined	/auth
20221205	16:53:35	5763a346-6c90-4126-9d77-7e6d41ebc55d	GET	undefined	/refresh
20221205	16:57:38	3e9772b2-fe0a-47a8-8c1e-1b8a411619e9	GET	undefined	/refresh
